"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04512","ECM-receptor interaction","22/976","89/10563",0.247191011235955,2.67528550377602,5.06388898149193,1.35555001929152e-05,0.000172571944763652,0.000108114718137826,"12505/16398/242022/16416/12841/94216/16774/12840/320910/16779/21825/16400/16402/16775/231470/16776/16404/20969/16399/21827/192897/12830",22
"Human Diseases","Cancer: overview","mmu05231","Choline metabolism in cancer","23/976","98/10563",0.23469387755102,2.54003220140515,4.8868594671431,2.16204117015627e-05,0.00026505023234138,0.00016605150507633,"18750/320127/170758/18591/50784/30805/70129/18176/18590/67916/26417/54635/23797/380921/56517/18805/20519/19730/18752/18595/18806/18783/236899",23
"Human Diseases","Cardiovascular disease","mmu05410","Hypertrophic cardiomyopathy","23/976","100/10563",0.23,2.48923155737705,4.77409156765699,3.05704017984239e-05,0.000350430220430614,0.00021954127341336,"16398/16905/16416/326618/105787/320910/108097/13527/16400/16402/21956/16651/20650/22003/110891/12295/12297/16404/16193/21803/11461/16399/192897",23
"Cellular Processes","Transport and catabolism","mmu04148","Efferocytosis","32/976","163/10563",0.196319018404908,2.12471085185558,4.61715702528609,3.07023455966399e-05,0.000350430220430614,0.00021954127341336,"14456/50770/20312/18019/11846/11303/16416/105722/11980/71345/29857/20698/233571/11687/21825/11487/18514/17164/26362/18442/13537/12894/26417/319520/13609/19225/21803/18613/16452/12322/18018/22259",32
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","23/976","101/10563",0.227722772277228,2.46458570037332,4.71872583928647,3.61904742934186e-05,0.000399301566370718,0.000250158717045735,"12043/18750/18799/14066/18033/11607/94216/50490/29857/12567/18754/20339/18176/19697/26417/23797/22341/16193/21803/22329/16452/18018/12830",23
"Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy","23/976","103/10563",0.223300970873786,2.41672966735636,4.6099518070942,5.02891469064298e-05,0.00053695831051704,0.000336399386776457,"16398/16905/16416/326618/320910/104111/13527/16400/11512/16402/21956/16651/20650/22003/110891/12295/12297/224129/16404/21803/11461/16399/192897",23
"Environmental Information Processing","Signal transduction","mmu04071","Sphingolipid signaling pathway","26/976","126/10563",0.206349206349206,2.2332650273224,4.44334948728298,7.00564825756728e-05,0.000705173512062257,0.000441784645814166,"12043/18750/17250/241447/18033/170758/228677/29857/20698/74442/22059/18754/208449/14673/14678/18176/19697/19054/19053/26417/23797/13609/18805/18752/18806/11539",26
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","24/976","112/10563",0.214285714285714,2.31915983606557,4.47800046392091,7.03043078491072e-05,0.000705173512062257,0.000441784645814166,"15903/207596/17131/268977/13179/16324/17130/15901/20481/17965/20482/21825/14313/434215/12156/228839/19053/26417/21815/21803/16323/12164/84506/12167",24
"Cellular Processes","Cellular community - eukaryotes","mmu04520","Adherens junction","21/976","92/10563",0.228260869565217,2.47040939059159,4.5195451384812,7.52792797187886e-05,0.00073286592902703,0.000459133687448958,"14182/380928/13866/16001/21414/58235/12550/17295/71740/109711/170758/67938/67268/22330/108100/12385/58998/26417/19263/11461/69903",21
"Organismal Systems","Endocrine system","mmu04916","Melanogenesis","22/976","100/10563",0.22,2.38100409836066,4.42714229914355,9.22085763425838e-05,0.000872029679125578,0.000546318482390647,"18750/17311/16590/21414/22422/93897/22417/22419/104111/14362/22418/14365/11512/14368/14369/14678/18176/26417/224129/22411/18752/12322",22
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection","55/976","359/10563",0.153203342618384,1.65808084844057,4.04760271111196,0.000114309314049045,0.0010510106375065,0.00065844838794333,"110935/16398/56198/231991/21414/22422/15213/93897/16416/16449/18033/12841/94216/22417/16774/12840/12567/320910/16779/22419/22059/14362/21825/22418/19645/14365/16400/15205/16402/16775/14368/23962/14369/18176/19697/76252/19054/19053/26417/16776/23797/15214/12006/22411/19225/16404/433586/19664/18128/16399/21827/192897/14991/21752/12830",55
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action","24/976","116/10563",0.206896551724138,2.23918880723573,4.28180915165122,0.000125880628688074,0.0011153164518933,0.000698735382486818,"14182/12043/18750/231991/17388/17387/12393/17389/104111/75607/75547/14673/11512/109689/14678/13081/26417/224129/21943/18805/15200/18752/238871/18806",24
"Environmental Information Processing","Signal transduction","mmu04310","Wnt signaling pathway","32/976","175/10563",0.182857142857143,1.97901639344262,4.16677111268179,0.000128042372120681,0.0011153164518933,0.000698735382486818,"18750/18163/14283/18019/329252/21414/22422/93897/192199/170758/22417/27373/22419/22059/14362/26564/16348/22418/14365/14368/14369/81004/20437/53627/12006/22411/26563/18752/12322/18018/72293/27412",32
"Environmental Information Processing","Signal transduction","mmu04330","Notch signaling pathway","16/976","63/10563",0.253968253968254,2.74863387978142,4.44151507513916,0.000141415506500779,0.00119819484201034,0.000750657922964024,"207521/67122/56198/80904/15213/16449/74198/20602/15205/15214/433586/19664/14357/18128/18223/54485",16
"Organismal Systems","Nervous system","mmu04724","Glutamatergic synapse","24/976","117/10563",0.205128205128205,2.22005044136192,4.23401442424073,0.000144796959759558,0.00119819484201034,0.000750657922964024,"18750/14660/14809/105727/26558/20510/13385/104111/14823/216456/14700/11512/14807/14678/26417/224129/14701/18805/18752/18806/224997/14697/18783/66066",24
"Environmental Information Processing","Signal transduction","mmu04371","Apelin signaling pathway","27/976","140/10563",0.192857142857143,2.08724385245902,4.13191364519164,0.000170703032710053,0.00137811472748848,0.000863376057609255,"30955/14219/12550/105787/16449/11607/20698/20544/108097/104111/18754/228785/17532/66922/14700/11512/110891/14678/18176/26417/23797/224129/18791/14701/20190/14697/66066",27
"Environmental Information Processing","Signal transduction","mmu04370","VEGF signaling pathway","15/976","58/10563",0.258620689655172,2.79898600904466,4.38329177884682,0.000182296862011317,0.00143667288870824,0.000900062200908008,"18750/15507/18019/170758/29857/20698/216148/102626/17164/18176/26417/23797/19225/18752/18783",15
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","28/976","149/10563",0.187919463087248,2.03380459896578,4.05489333145832,0.000206266620613702,0.00158777328891012,0.000994725196105246,"12043/16800/16416/105787/18033/170758/29857/23939/18591/18104/22059/15516/63873/14862/20339/19697/18590/12389/16177/23797/18791/20969/14871/22329/11461/18613/16399/12167",28
"Human Diseases","Cancer: specific types","mmu05219","Bladder cancer","12/976","41/10563",0.292682926829268,3.16763294682127,4.43695628415572,0.00022780698064486,0.00171372978621474,0.00107363577002482,"13866/14184/22270/12550/12567/22059/21825/19645/18176/26417/15200/13143",12
"Human Diseases","Drug resistance: antineoplastic","mmu01522","Endocrine resistance","20/976","93/10563",0.21505376344086,2.32747223691169,4.1025152780043,0.000262059319864113,0.00192759188611159,0.00120761838627439,"12043/13866/16001/12124/16449/29857/216148/12567/104111/22059/19645/11512/59035/18176/26417/23797/224129/18128/15200/54485",20
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","22/976","109/10563",0.201834862385321,2.18440742968868,3.96579034240968,0.00034321037529367,0.00246962248309141,0.0015471955133376,"12043/30955/18033/29857/16774/12703/16779/15482/15511/193740/16775/14678/19697/26417/16776/15980/23797/15001/21803/16452/14998/21939",22
"Organismal Systems","Endocrine system","mmu04921","Oxytocin signaling pathway","28/976","154/10563",0.181818181818182,1.96777198211624,3.85998420551308,0.000364282773781319,0.00256548081109823,0.00160724986416394,"18750/18019/30955/230103/105787/19735/23939/108097/104111/228785/11512/54720/14678/18176/12295/26417/211480/12297/224129/19225/11461/52163/18752/234889/20190/12322/18018/18783",28
"Human Diseases","Cancer: specific types","mmu05214","Glioma","17/976","75/10563",0.226666666666667,2.45315573770492,4.02951781431584,0.000388243688631778,0.00267726376952331,0.00167728084781711,"18750/16001/13197/18591/216148/12567/22059/21802/19645/18176/18590/26417/23797/52163/18752/18595/12322",17
"Metabolism","Lipid metabolism","mmu00600","Sphingolipid metabolism","14/976","56/10563",0.25,2.70568647540984,4.08329239640559,0.000433747297759641,0.00288260863717482,0.00180592749729191,"22239/15212/241447/228677/20698/74442/50784/208449/223753/14421/15211/67916/56386/76943",14
"Human Diseases","Cancer: overview","mmu05230","Central carbon metabolism in cancer","16/976","69/10563",0.231884057971014,2.5096222380613,4.01401440692025,0.000435439371174445,0.00288260863717482,0.00180592749729191,"14183/14182/13866/16590/14184/14660/20514/17295/56421/22059/216456/18176/26417/23797/80879/18595",16
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","17/976","76/10563",0.223684210526316,2.42087737273512,3.96638061689801,0.000457905171186212,0.00296197839548167,0.00185565191257717,"13866/13197/18033/170758/73341/12567/22059/21802/19645/19697/26417/23797/64143/21803/18805/19730/18806",17
"Organismal Systems","Immune system","mmu04611","Platelet activation","24/976","126/10563",0.19047619047619,2.06147540983607,3.8244060389021,0.00046532591107265,0.00296197839548167,0.00185565191257717,"110135/16398/99571/30955/16416/29857/67938/67268/104111/228785/11512/69632/14678/22323/26417/23797/224129/14065/279028/11461/16399/234889/19091/18783",24
"Human Diseases","Cancer: specific types","mmu05218","Melanoma","16/976","72/10563",0.222222222222222,2.40505464480874,3.81687244300076,0.000719834919753643,0.004412321452564,0.00276427834681223,"14182/16001/12550/17295/13197/18591/14164/12567/22059/19645/18176/18590/26417/54635/23797/18595",16
"Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer","16/976","72/10563",0.222222222222222,2.40505464480874,3.81687244300076,0.000719834919753643,0.004412321452564,0.00276427834681223,"18750/16574/13866/17295/13197/12567/22059/16453/21802/19645/54354/18176/26417/11682/23797/18752",16
"Metabolism","Lipid metabolism","mmu00564","Glycerophospholipid metabolism","20/976","101/10563",0.198019801980198,2.14311800032462,3.68299406727128,0.000809438534790062,0.00487134827300928,0.00305185437997402,"665270/218121/320127/231510/99010/64898/74442/50784/208449/110911/74596/67216/18784/67916/380921/18805/18806/214253/18783/236899",20
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","39/976","253/10563",0.154150197628458,1.66832841962029,3.4330290932826,0.000967003804303433,0.00568383040746662,0.00356086687953864,"27205/12043/12306/16574/21414/30955/18479/53857/18033/66395/29857/69582/20194/235406/18481/19158/67938/67268/17951/73710/80837/213575/100041194/15516/22151/192176/21933/17952/19697/26417/69146/23797/18645/11852/16193/11461/105855/22142/22153",39
"Organismal Systems","Immune system","mmu04658","Th1 and Th2 cell differentiation","18/976","88/10563",0.204545454545455,2.21374347988078,3.64794143059864,0.000978786505213285,0.00568383040746662,0.00356086687953864,"18019/16449/18033/18037/29857/16453/19697/26417/15980/15001/433586/19664/18128/20849/16452/14998/18018/54485",18
"Environmental Information Processing","Signal transduction","mmu04022","cGMP-PKG signaling pathway","29/976","172/10563",0.168604651162791,1.82476529736942,3.47954579859457,0.00103109607901609,0.00588435865783323,0.0036864959630884,"231991/18019/22068/30955/230103/11607/19735/67972/381290/104111/207728/18754/228785/20807/14673/11512/110891/14678/22323/242202/26417/23797/224129/13617/11931/234889/11539/19091/18018",29
"Human Diseases","Substance dependence","mmu05030","Cocaine addiction","12/976","48/10563",0.25,2.70568647540984,3.77895580446541,0.00109737690856385,0.00615647045312941,0.00385697147166956,"12064/231991/17161/18033/19739/67839/19049/13385/14678/19697/109731/224129",12
"Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway","39/976","255/10563",0.152941176470588,1.65524349083896,3.3794204466596,0.00112570016047791,0.00621011255196979,0.00389057774761663,"14183/14182/18750/18799/18019/12767/13866/14184/17295/11607/269717/15562/20698/67972/18591/14164/381290/104111/12669/228785/21802/14675/19229/13867/110891/18590/54635/13617/22341/233011/21338/52163/18752/20190/18595/12322/14254/18018/18212",39
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","20/976","105/10563",0.19047619047619,2.06147540983607,3.48768212292962,0.00134089977873791,0.00727602994692211,0.00455836508043777,"18019/18033/18037/29857/12394/16453/16364/15516/11622/19697/26417/16177/15980/15001/16193/21803/16452/14998/19401/18018",20
"Environmental Information Processing","Signal transduction","mmu04012","ErbB signaling pathway","17/976","84/10563",0.202380952380952,2.19031762295082,3.49461400503898,0.00151401980313005,0.00808291217477494,0.00506386929060475,"11839/18750/12223/17974/13866/18479/18481/216148/21802/13867/83961/18176/26417/23797/15200/18752/12322",17
"Human Diseases","Cancer: overview","mmu05206","MicroRNAs in cancer","45/976","311/10563",0.144694533762058,1.56599217226293,3.23253285266732,0.00157504527650798,0.00827523788133557,0.00518435955675976,"12505/12043/18750/13866/12125/17250/14184/24064/14660/16416/17295/18033/108655/23939/20677/18591/18792/12703/13640/17389/22059/21825/18754/216456/13078/14365/16402/22350/13867/22003/18176/18590/13081/13636/26417/19225/18128/387220/71819/18752/18595/22352/18671/53614/13639",45
"Metabolism","Amino acid metabolism","mmu00340","Histidine metabolism","8/976","26/10563",0.307692307692308,3.33007566204288,3.79537623861163,0.0017764233807423,0.00916484377194909,0.00574168937215447,"17161/11671/109731/15109/72535/11670/107239/621603",8
"Human Diseases","Endocrine and metabolic disease","mmu04934","Cushing syndrome","27/976","162/10563",0.166666666666667,1.80379098360656,3.28942293435594,0.00179974273467278,0.00916484377194909,0.00574168937215447,"231991/21414/22422/93897/11607/15370/22417/12567/22419/104111/14362/18514/22418/19645/14365/11512/14368/11622/14369/14678/26417/224129/20845/12006/22411/320024/12322",27
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","20/976","108/10563",0.185185185185185,2.00421220400729,3.34681711224011,0.00191326603109412,0.0095953190347296,0.00601137812002459,"18750/15507/11846/109711/18033/94216/16774/22330/16779/20719/14675/16775/19697/16776/16177/16193/21803/18752/20723/12830",20
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer","18/976","94/10563",0.191489361702128,2.07244070456924,3.33227813081174,0.00214921278198573,0.0105488343751504,0.00660874661124064,"12043/16398/13197/18033/94216/16774/12567/16779/22059/19645/16400/16775/19697/16776/23797/19225/16399/12830",18
"Organismal Systems","Circulatory system","mmu04261","Adrenergic signaling in cardiomyocytes","26/976","156/10563",0.166666666666667,1.80379098360656,3.22700232924136,0.00216713213749312,0.0105488343751504,0.00660874661124064,"12043/18750/231991/30955/326618/11607/29857/67972/20544/381290/104111/11512/21956/22003/110891/14678/19054/12295/19053/26417/12297/23797/224129/20271/11931/12322",26
"Human Diseases","Infectious disease: parasitic","mmu05143","African trypanosomiasis","10/976","39/10563",0.256410256410256,2.7750630517024,3.54333565769987,0.00228920513764562,0.0109815492834884,0.00687983847621949,"18750/14063/15930/15122/16775/110257/20339/16193/22329/18752",10
"Human Diseases","Cancer: specific types","mmu05210","Colorectal cancer","17/976","88/10563",0.193181818181818,2.09075773099851,3.27830417515082,0.00255830970174553,0.0120237118907753,0.0075327436555342,"11839/12043/12125/21414/13197/170758/22059/21802/17685/18176/26417/23797/12006/64143/21803/19730/170770",17
"Environmental Information Processing","Signal transduction","mmu04024","cAMP signaling pathway","34/976","224/10563",0.151785714285714,1.64273821721311,3.10224070543714,0.00257910436327808,0.0120237118907753,0.0075327436555342,"12064/231991/18479/239273/18033/170758/15562/67972/20544/381290/14634/19049/104111/12669/66922/11512/80885/14678/109648/19697/26417/23797/224129/13617/15552/18805/11931/238871/12322/18806/11539/16866/18018/22324",34
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","42/976","294/10563",0.142857142857143,1.54610655737705,3.03000682236524,0.00282671148681411,0.0129950208629927,0.00814125969155527,"12804/20312/12767/18414/16164/77125/21938/16324/94185/16878/16181/27279/56708/19116/20309/16156/50905/23886/12156/12984/21933/16177/15980/21943/21950/12983/21944/16193/21803/16323/57890/12977/16322/230979/245527/21939/85030/66102/53603/12164/16847/12167",42
"Organismal Systems","Endocrine system","mmu04925","Aldosterone synthesis and secretion","19/976","104/10563",0.182692307692308,1.97723242433796,3.19540627128632,0.00287934498050506,0.0130556601170846,0.0081792496201802,"18750/231991/11607/15370/67972/381290/104111/207728/18754/75292/11512/18760/224129/20845/52163/11931/18752/101540/12322",19
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","20/976","112/10563",0.178571428571429,1.93263319672131,3.16590285225942,0.00298710457298332,0.0133612380223984,0.00837069133538712,"18019/13655/18479/18033/29857/16706/18034/17532/66922/17164/69632/19698/18176/19697/53859/26417/23797/19225/16193/18018",20
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","23/976","136/10563",0.169117647058824,1.83031732160077,3.10949950602251,0.00314019114908011,0.0138587102712735,0.00868235307184254,"12043/12125/16905/53857/13197/18033/19249/22059/20740/12364/12984/21933/18176/19697/53859/26417/12333/23797/12983/78943/11461/170770/22142",23
"Metabolism","Amino acid metabolism","mmu00330","Arginine and proline metabolism","12/976","54/10563",0.222222222222222,2.40505464480874,3.30267641887289,0.00322562840103764,0.0140484605360982,0.00880122984770659,"11846/17161/20603/100041585/11702/11671/67217/109731/72535/107239/242669/14431",12
"Organismal Systems","Endocrine system","mmu04912","GnRH signaling pathway","17/976","90/10563",0.188888888888889,2.04429644808743,3.1744327464269,0.00327234673427175,0.0140668411564149,0.00881274513535933,"18750/17387/29857/23939/104111/26405/19229/11512/18176/26417/224129/18805/15200/12322/18806/16866/18783",17
"Organismal Systems","Nervous system","mmu04725","Cholinergic synapse","20/976","114/10563",0.175438596491228,1.8987273511648,3.07821993689055,0.00368986013671461,0.0156582526314427,0.00980974962122506,"12043/18750/231991/30955/104111/12669/14700/11512/14678/18176/26417/211480/23797/224129/14701/18752/16452/12322/14697/66066",20
