"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Metabolism of terpenoids and polyketides","mmu00900","Terpenoid backbone biosynthesis","9/952","23/10563",0.391304347826087,4.34175191815857,5.04922920720871,9.64252454175539e-05,0.000961416417545611,0.000752296032359864,"68603/110460/224530/192156/110196/110446/17855/208715/319554",9
"Metabolism","Amino acid metabolism","mmu00310","Lysine degradation","16/952","64/10563",0.25,2.77389705882353,4.47972856321337,0.000129021699894373,0.00124966732183407,0.000977848672883671,"110460/224530/74147/270076/30956/56752/26433/13382/93747/110446/11669/209692/19193/73251/67956/213389",16
"Metabolism","Lipid metabolism","mmu00564","Glycerophospholipid metabolism","21/952","101/10563",0.207920792079208,2.30700349446709,4.15372121743545,0.000215873363344903,0.00203280750483117,0.00159064583517297,"14555/212862/55979/381925/192654/14245/68262/71910/74451/271844/68671/102247/66350/19012/14732/333433/99712/12660/78390/53357/18618",21
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease","26/952","141/10563",0.184397163120567,2.04599499374218,3.93523701902129,0.000316659475018436,0.00290128546030405,0.00227021871136973,"20249/100705/14104/107476/30049/108079/14245/20250/11651/329065/16803/56752/330122/19013/207565/20787/11669/16179/117149/14825/56489/12259/21415/20310/17087/56690",26
"Metabolism","Glycan biosynthesis and metabolism","mmu00512","Mucin type O-glycan biosynthesis","10/952","32/10563",0.3125,3.46737132352941,4.39928363206067,0.000344451374710861,0.00307286884281532,0.00240448051044701,"56336/20447/14423/171212/230145/20446/59048/108150/20442/14537",10
"Metabolism","Carbohydrate metabolism","mmu00650","Butanoate metabolism","9/952","27/10563",0.333333333333333,3.69852941176471,4.41853626830449,0.000397381259104318,0.00345416017529138,0.00270283609431277,"110460/67041/224530/78894/74147/71911/93747/110446/208715",9
"Human Diseases","Neurodegenerative disease","mmu05012","Parkinson disease","42/952","274/10563",0.153284671532847,1.70078359811078,3.69896220239497,0.000423684041019764,0.0035907222476425,0.00280969416676264,"67547/22433/54405/28080/106957/14677/68197/14977/22272/78330/12861/12858/227197/69806/11951/12868/67264/66445/228033/66916/66694/66218/66945/11950/66046/66108/17706/12866/66142/17705/69875/17720/66152/17719/75406/17711/230075/17708/18174/17709/17710/110877",42
"Metabolism","Carbohydrate metabolism","mmu00520","Amino sugar and nucleotide sugar metabolism","11/952","39/10563",0.282051282051282,3.12952488687783,4.19306766487378,0.000474820981074984,0.00392595884352243,0.00307201250913725,"331026/50798/74246/15277/110119/14583/216558/227620/54128/69080/109785",11
"Metabolism","Carbohydrate metabolism","mmu00030","Pentose phosphate pathway","10/952","34/10563",0.294117647058824,3.26340830449827,4.16021779960575,0.000592902176206407,0.00474885241466173,0.00371591618846377,"21881/110208/11676/18641/14381/21351/66646/232449/14380/74637",10
"Metabolism","Amino acid metabolism","mmu00260","Glycine, serine and threonine metabolism","11/952","40/10563",0.275,3.05128676470588,4.09066444004772,0.000602361810709305,0.00474885241466173,0.00371591618846377,"104174/14711/192166/68133/13382/26912/18648/19193/76238/67092/107869",11
