"Length","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
7456,"Lrrk1",0.584129457397261,0.585758410461702,3.68486020555531,0.265471363625834,0.608250535497835
3343,"Cables1",-0.574715943509028,-0.575036954305743,3.72061732691809,0.265625695234579,0.608493873407654
2435,"Gnaz",0.611837098539615,0.614946114786815,1.75823292318484,0.265655256957226,0.608493873407654
3446,"Htra3",0.906970402584889,0.913158328999697,0.784012901684571,0.265937743572463,0.60905186448284
3924,"Myo19",0.57618099257834,0.576285867102769,4.4441323785303,0.266261460776805,0.609671532797995
2528,"Bmp5",-3.27293315591242,-144269479.754558,-1.9612307193042,0.266286155595524,0.609671532797995
3941,"Tbx5",3.0041343490216,144269479.451199,-1.65097532906694,0.266392110941637,0.609824991655815
1446,"Kcne5",-1.96578284744649,-2.11105577296881,0.417224085142997,0.266578586881456,0.610162706530978
3295,"Susd1",-0.57470599958007,-0.57499939592647,2.09340834523778,0.266621222867352,0.610171140426162
4718,"Oas3",-1.00591815286349,-1.03991214142927,-1.51468166204496,0.266715846973303,0.610282734920131
2376,"Cyb5d2",0.579407009601522,0.580319249560044,1.23675867607322,0.266774680203195,0.610282734920131
4472,"Matr3",-0.579428589823741,-0.579451680616587,7.59689392341103,0.266786860436199,0.610282734920131
11474,"Eppk1",-0.598465583831638,-0.599061370037167,5.67862539134485,0.266987576517268,0.610591644963587
4376,"Gm14325",-0.579618798529425,-0.58073435478304,2.54354412398329,0.266999857516793,0.610591644963587
2940,"Rgl2",-0.578167467221841,-0.578202609310302,6.32564132191532,0.267225673489357,0.610896926465408
2702,"Gm12250",0.825699538804404,0.830367408292774,0.11225444050263,0.267260106278261,0.610896926465408
1689,"Cdkl1",-1.75183390758904,-1.88945645039471,-0.516725573428276,0.26727360907233,0.610896926465408
6448,"Trip11",0.579341717735044,0.579391899794843,5.72583754204424,0.267289341461469,0.610896926465408
1595,"4921524J17Rik",0.575610909807909,0.575886815952341,3.21855350856257,0.267397237476524,0.611054372730816
2666,"Mettl21a",0.574057276346156,0.574834089841217,2.65003250846801,0.26747983867045,0.611153977942328
2923,"Muc2",-0.712184412632867,-0.717516934721406,0.186933229583184,0.267734703022552,0.611604931004709
2084,"Ccdc27",-1.75070874046337,-1.88833029137972,0.224462296891906,0.267755289934905,0.611604931004709
1620,"Rapsn",-1.27682941827744,-1.30664168410014,-0.412168835328094,0.267854082380443,0.611741390944692
1710,"Acvr2b",0.580200329406127,0.581611317232362,0.946234767257404,0.267923919794117,0.611811691483213
3480,"H2af-ps2",-0.575573145001915,-0.57569585595792,4.85752692552822,0.268221961284975,0.612403005907175
2628,"Gm10584",-3.27293315591242,-144269479.754558,-0.794356131895729,0.268399400308578,0.612718829180105
7507,"Snx30",0.572531826020704,0.572841474882859,3.17468367799476,0.268857219170974,0.613646388845035
4636,"Abat",0.754680793602447,0.760547626193404,4.6924330449177,0.268884060838322,0.613646388845035
2959,"Slc38a6",0.573157072449584,0.573325317022629,3.33760631594728,0.268954165224235,0.613716969881668
2017,"Gja6",1.08261737432928,1.1115957684129,-1.65460741384895,0.269157593218046,0.614091712461506
921,"Cfap73",-0.87032603902343,-0.888817218889969,-0.311312159865458,0.269226081771629,0.614158522055129
3719,"Pfkl",0.576392943003135,0.576400169070553,7.83885344458731,0.269588265474647,0.614895192000632
3147,"Ccdc187",-1.55911407195443,-1.62542934844046,3.97483698371992,0.269658575613264,0.6149660193597
8500,"Casz1",-0.575801930018129,-0.575850629646159,5.45716120731487,0.269779553062746,0.615077587537908
4011,"Slfn8",0.659660566038624,0.662630434661578,0.878908286303944,0.269786026426618,0.615077587537908
1164,"Sds",-1.27857941580555,-1.30254283023588,-0.698532097218753,0.269929071195384,0.615314158945823
2571,"Matn4",-0.718214931763721,-0.723552278960008,4.26847672895379,0.270031796057078,0.615414040729854
1300,"Mirg",3.0041343490216,144269479.451199,-1.61604748303117,0.270071403749604,0.615414040729854
1870,"Ccdc32",0.571381471527167,0.571916519119886,2.29179804021607,0.270090745612368,0.615414040729854
6059,"Auts2",-0.575332663852881,-0.575510824456474,5.81047173829692,0.270190701944213,0.615552260901118
4817,"Golga3",0.576985451081838,0.577035930531839,5.88370477928331,0.270886887346035,0.617048580816582
4541,"Fanca",0.572283484173077,0.572450946193538,3.48270485916988,0.270961275109388,0.617128289413864
2013,"Rcor2",0.585812729837913,0.586958463950353,1.0316022172807,0.271121704193708,0.617403909898886
1530,"Zfp296",0.686518513436768,0.687178687035097,3.38334620672642,0.271180347506299,0.617447695303223
660,"Ccl4",-1.55795573039629,-1.62427001848921,-1.37602282134492,0.271241819024448,0.617497906556893
5113,"Tshz2",-0.581261748298481,-0.58387015679253,6.69569618484394,0.271359169300987,0.617675296004063
2221,"Tnfrsf9",0.996677007830275,1.01729278701037,-1.5073018059459,0.271442404340004,0.617694513186353
3061,"Mei4",-1.74963502156656,-1.88725561201952,-1.71863039288732,0.271446474865934,0.617694513186353
6743,"Maml2",-0.573240938888472,-0.573322856075395,6.43959564956492,0.271656530184892,0.618082722635632
4743,"Ddx21",-0.575939467713741,-0.575957136805423,7.79264610961532,0.271748460484825,0.61820209606372
3185,"Lrrn3",3.0041343490216,144269479.451199,0.206443206638963,0.2723281228674,0.619400425268071
2355,"Atoh8",-1.14126760835822,-1.17822273627928,2.48824463506516,0.272393459432769,0.619400425268071
