"Length","Symbol","logFC","unshrunk.logFC","logCPM","PValue","FDR"
7928,"Itih5",-0.785051439928536,-0.785580499223024,4.87752996215414,0.100497933315049,0.502169099004863
1048,"Sft2d1",-0.69780163056385,-0.69828306911975,3.45992348153649,0.10061795793245,0.502452005252664
7192,"Zbtb40",0.712529491951895,0.712874368925321,4.15410529771027,0.100659103016224,0.502452005252664
2084,"Dcn",-0.790882580066181,-0.790893818686009,7.59517436616071,0.10066143079715,0.502452005252664
551,"D530049I02Rik",-1.00764840658313,-1.02330180058089,-0.961311806501832,0.100682849951364,0.502452005252664
2678,"Hnrnpa0",-0.661926424472089,-0.661942410811259,7.72395112107959,0.100736390909843,0.502470229800858
4079,"Zfp456",0.920009549413623,0.925391570632553,0.798045022470344,0.100750653801755,0.502470229800858
2412,"Dhx58",0.785831719953153,0.788171901286439,1.50974345744382,0.100860803213579,0.502859478784441
998,"Gm19345",-2.12216277117428,-2.36586201928434,-1.52854372171759,0.100929167790597,0.503040220629877
1221,"Ramp3",-0.843562855206316,-0.844739548803875,1.77675368319425,0.101109189973234,0.503718953885858
1995,"Fam110b",0.712112160964853,0.712686311208686,2.2391019402575,0.101129659110822,0.503718953885858
679,"Gm12247",1.01584966059111,1.02844497358036,-0.763721451795818,0.101237879464476,0.503807893815206
432,"Bloc1s2-ps",-0.77654019393659,-0.779529404736108,2.36418580148767,0.101240746996987,0.503807893815206
1542,"9130221H12Rik",0.840107170978237,0.843638446718239,1.08798686770947,0.101243999344415,0.503807893815206
4184,"Syt15",0.961551034605887,0.967267578066912,0.91465189132706,0.10144453770617,0.504645501164546
4805,"Taf3",0.711422782663663,0.711665256654915,3.93888116220151,0.101491756651074,0.504720116806057
3252,"Ints7",-0.660724733476851,-0.660874848785099,5.27873221991779,0.101526788783046,0.504734099107083
3745,"Nkain2",-0.961672588832948,-0.968090055028839,-0.143086735243207,0.101587930935092,0.50487783569106
1128,"Nup62cl",-1.04086625945698,-1.05554180337596,-0.535007895551794,0.101723290938358,0.505390216476172
1867,"B3gnt8",0.91596222735083,0.92584231719772,-0.542522414169452,0.10182837081681,0.505751879786089
693,"Cox5a",-0.652518894504851,-0.652590008521751,6.65725514256122,0.101871981547128,0.505808111231618
4158,"Sgk1",0.694829556632891,0.694831338169053,10.3715675495962,0.101985867089106,0.506172453276018
4591,"Gm10789",-1.61531446951608,-1.65352226984218,-0.988831867925381,0.10206468583897,0.506172453276018
2531,"Prss53",0.800025580000793,0.802966838155698,0.63815716760506,0.102085941694617,0.506172453276018
3106,"Enox2",0.693501125655198,0.693882747636907,3.21465214113361,0.102097505447067,0.506172453276018
3153,"Smarcd1",-0.653496667088611,-0.653657415829541,4.54500275018779,0.10214078796485,0.506172453276018
1451,"Rab3a",0.694923672230928,0.695511167973183,3.01315010393935,0.10217103886331,0.506172453276018
1829,"Enoph1",-0.690282843205432,-0.690556931575674,3.72930168143316,0.102171547862034,0.506172453276018
1790,"Fscn3",1.20293542581979,1.21425395091475,-0.630078452026827,0.10234759658699,0.506884318853998
1629,"Gnat2",0.915103220690698,0.924982474562674,-1.00218134339001,0.102451925814281,0.507240650404777
1907,"Nkx6-2",-1.21079290896542,-1.22848122272332,-1.05244757468258,0.102594150738742,0.507784319533144
4725,"Tgfb2",-0.66960405021414,-0.669697902862638,5.63805858947837,0.102714145122732,0.507917550456574
3995,"Rps6kc1",0.676105677853104,0.6762935755502,4.15823060449789,0.102718265435812,0.507917550456574
4086,"B4galnt2",-1.19547821383399,-1.2229369734877,-1.56386363363393,0.102718340239159,0.507917550456574
8249,"Atp8a1",0.693543673512368,0.693830642675549,3.95670474245554,0.102808778821681,0.508204329517711
59,"Snord52",-0.854233122733445,-0.860152665913831,-0.129107034112104,0.102904371391994,0.508516396799869
1542,"Evi5l",-0.709959773813147,-0.710207951108036,3.30555518940197,0.102965048203324,0.508655780544016
4916,"Zc3h6",0.731353796200185,0.732202368185235,2.30530378184923,0.103086755229296,0.50909647562009
5328,"B3galt5",-0.810805737349893,-0.813197457082414,0.579330368920934,0.103176271638955,0.509366010099313
3436,"Ttc19",-0.660850979560853,-0.66100687240666,4.44068940702485,0.103206365531773,0.509366010099313
1886,"Gm9292",-0.932085211695322,-0.939892720378452,-0.191896214572193,0.103490617240665,0.510559703287248
7271,"Mllt6",-0.671209854123323,-0.671254177824957,6.27754019695652,0.10351341319121,0.510559703287248
1969,"Cited2",0.715339508659058,0.715395251528335,6.12362920347731,0.103607869041605,0.510864736712855
2846,"Pla2g4a",0.702578707148802,0.702892985768152,4.26804051642651,0.1038384594826,0.511840612899598
3174,"Gm16325",-3.94272665943582,-144269480.484916,-0.836087594283379,0.104158170970917,0.513112780292887
1114,"Thap3",0.68527726731629,0.685752368190781,3.10783972999098,0.104198375949266,0.513112780292887
3990,"Foxc1",-0.699569107400522,-0.699774656011051,4.65051136561342,0.104280077000301,0.513112780292887
745,"Dbi",0.665131574469337,0.665157391054704,7.89345272114938,0.10429583267953,0.513112780292887
2415,"Hspa1l",0.71911761789909,0.719262092250312,5.0694433658055,0.104322353262232,0.513112780292887
5706,"Sv2b",-2.23417137138934,-2.36390781502424,-0.0306461509739476,0.104326029386623,0.513112780292887
2365,"Tnfaip8l1",-0.999227728321514,-1.00400313429861,2.18047966596958,0.104363253766978,0.513112780292887
2978,"D830014E11Rik",1.02429541597787,1.03625040394288,-1.12919299946438,0.104428529451047,0.513112780292887
4955,"Plekhg3",-0.662992665120169,-0.663117838781541,5.89573792061446,0.104445265419457,0.513112780292887
1805,"Efhd1",0.778920635814096,0.779313807366816,2.73818658875616,0.104449559005199,0.513112780292887
3722,"Tpbg",-0.716180078264851,-0.716196570714489,6.92409651429529,0.104456856454134,0.513112780292887
11336,"Hecw2",0.688427629178532,0.688859872721445,2.09741247032914,0.104563954117055,0.513477849919647
3439,"Agpat3",-0.70111084947032,-0.701200295798151,5.66529914680768,0.10500501987069,0.515335309042299
1343,"Il1r2",0.797036467282368,0.798331576176513,0.553208550975611,0.10501363800561,0.515335309042299
2640,"Peg12",-0.905084460665673,-0.910096074209966,-0.200012360983159,0.105043328033555,0.515335309042299
5922,"Phactr1",0.756086650360879,0.757987563514447,3.72661874522934,0.105077127883893,0.515335309042299
3813,"Abce1",-0.663065241411304,-0.663099666001263,7.14554751554142,0.105106690864356,0.515335309042299
4502,"A430088P11Rik",-0.88725697183291,-0.896030139899221,-1.28544281457304,0.105177068908099,0.515412290553074
2919,"Gm3604",1.34681739883899,1.36410543978725,-0.464662558714175,0.105188196163305,0.515412290553074
5102,"Ace",-0.691414492835682,-0.691760497377132,5.25863959127429,0.105364167855823,0.516113098643362
5143,"Col1a2",-0.760026007355865,-0.760121136371745,4.91768580496819,0.105504560011753,0.516639241195409
7547,"Ank2",-0.771692613723187,-0.771881756876493,3.69010747270139,0.105663508441951,0.517192851844486
2039,"Tcp11",1.10188759026129,1.11611876284256,-0.936413630683186,0.105683646265828,0.517192851844486
3626,"Zscan18",-0.893789866895865,-0.896734261145559,2.87734099459514,0.105777577960598,0.517490867817853
3398,"Clint1",-0.660949592933808,-0.660980660330885,7.82019650998432,0.105876013953989,0.517810727002572
4967,"Tbcel",0.662341898322035,0.662460849548351,4.20093901786094,0.105931684356012,0.517921296952848
1362,"Gm10638",0.849250157957599,0.852283528211261,0.188398194188344,0.106064303904021,0.518313876889644
4714,"Pcdhb19",0.73979031290207,0.742053292351309,0.521278244426029,0.106078154440357,0.518313876889644
15937,"Bsn",-1.34000387886912,-1.36583811888862,-1.82077271908759,0.106150494339004,0.518382042188989
3558,"Mab21l3",-0.986416905517215,-0.994155371039346,0.53356482516113,0.10615828862702,0.518382042188989
3594,"Acss1",-0.823114749931776,-0.825360843737611,5.57174542266131,0.10651542527837,0.519963894355147
1918,"Hnrnpa1",-0.661771056326539,-0.661804528465517,6.59575611279805,0.106576024161267,0.520097638157708
4200,"Slc35a5",0.689058808407891,0.689525807768221,3.21802258024874,0.106615179693587,0.520126686359401
1944,"Cyp2j9",0.729921105379496,0.730428143400752,2.33443990969545,0.106652832184133,0.520148386103499
7471,"Col6a6",-0.989895698599512,-0.995994913307915,-0.634678222306786,0.106741840136503,0.520240385228763
2441,"P2rx1",-1.25868598128885,-1.26917172959651,-0.442893376882956,0.106758760831684,0.520240385228763
2046,"Tpst1",0.659004214970126,0.659050927242513,5.20720673910696,0.106771327067378,0.520240385228763
2887,"Tmem231",0.705725816148506,0.706188603407325,2.68355395609902,0.106861367257794,0.520489236306148
3757,"Ano8",0.691089482261423,0.691405238319959,4.25757703528804,0.106888852422399,0.520489236306148
5428,"Mlh3",0.677119391794556,0.677471134524409,2.98267377234587,0.107028209519537,0.521005873873073
3798,"Hcn4",-0.811727255352099,-0.813841875512637,0.631365091326127,0.107369262598978,0.522447183799399
605,"Ly6g6d",-2.33496188429283,-2.58781510868708,-0.362957309212496,0.107420872555106,0.522447183799399
4745,"Scml4",0.804036858398893,0.806478395016942,2.71250342048462,0.107424345931559,0.522447183799399
3681,"Gga3",0.697309894349772,0.697556964328697,4.63446323488328,0.107479277095762,0.522552102950066
2057,"Zfp454",1.15107971133144,1.16022328841436,-0.475858216732933,0.107592692428067,0.522812148846658
4850,"Arhgef2",0.649569119691028,0.649631409240809,5.62040801293554,0.107599512791677,0.522812148846658
2687,"Slc41a3",0.732068430584217,0.733353979543231,1.41606741465912,0.107836901050857,0.523803117817572
8451,"Sox11",-0.88738240989718,-0.888344162364499,1.35984930361028,0.108048318634691,0.524667362496105
2795,"Adrb3",0.947001779586814,0.955024343950871,-1.50197588356829,0.108251722571603,0.525492170463019
5105,"Rasgrp1",1.12150818880067,1.14303643372681,1.44383285500766,0.108423752262292,0.526164212883768
2256,"Ccdc92",0.754499153490649,0.756040039433177,2.36732030150443,0.108657021706486,0.52713293435494
4275,"Plppr3",-0.699538212497199,-0.699667841621184,4.76448218825315,0.108777537035984,0.527554215996499
1887,"Pus1",-0.675771014582679,-0.676074078746158,4.45543618255175,0.108973416340439,0.528340627351585
5596,"Dnajc6",0.976487490525165,0.988050138316303,3.95181486036855,0.109033642024612,0.528469060122385
2974,"Slc19a3",0.813014627491898,0.81515263936815,0.175473613300998,0.109133177072658,0.528787880867056
1353,"E130112N10Rik",-0.994090337325878,-1.00224620336512,-0.206141767913273,0.109187791208535,0.528888914434661
2513,"Eif2s2",-0.65595787531232,-0.655999020650344,6.51093285795975,0.109252190975495,0.528890794643986
3464,"Pgap6",-1.17626538117894,-1.19744589466949,1.56433246758365,0.10925570453035,0.528890794643986
2311,"Mmp28",0.998005504004281,1.00570519863266,1.60179192543984,0.109363664678431,0.529114134670636
1874,"Zfp1",-0.67274413605713,-0.673136999624144,3.4945687533817,0.109369394705619,0.529114134670636
3600,"Apobr",-0.754125555420538,-0.754817985260881,4.04730180906212,0.10946742653889,0.529424895563976
768,"Orm1",0.829392923261245,0.832530035539654,3.01813339622528,0.109664831407574,0.530215920987546
3046,"Cdk18",-0.675534973138732,-0.675657679937183,5.3561278394565,0.109736439044819,0.530398431853468
2335,"Tmem198b",0.717906323259179,0.718611551412178,2.46778465020432,0.109890499986211,0.530979235744599
712,"S100a3",0.801440523336469,0.803630079308021,0.347688108727303,0.110070126143037,0.531683171764007
795,"Gm3739",-0.988918939975562,-0.997863416691269,-1.06689327604904,0.110184976847199,0.531990002754624
2988,"Glrb",-0.711381624825346,-0.711822219773455,2.62170880042716,0.110201567758618,0.531990002754624
2334,"Prdx6",-0.661964488805363,-0.662015258687006,6.82608270105354,0.110316132676256,0.532378995185937
2446,"Ankmy2",0.688306137957683,0.688491357919585,4.02165945320033,0.110441092707387,0.532719296471277
2906,"Rfesd",0.7096850731633,0.71034581774337,2.2123841681617,0.11048940069335,0.532719296471277
1888,"Serpinb6a",0.670919743204795,0.670953503549464,6.11627244017262,0.110511213194425,0.532719296471277
1577,"B3galt4",0.866996526249402,0.872157979338971,0.775999622180557,0.110522675616448,0.532719296471277
5891,"Arnt2",-0.736317085096496,-0.73695149245771,1.9474072745508,0.110569955698712,0.532783253159126
1545,"Pdgfrl",-0.693502292359994,-0.693675728820121,3.99062849834027,0.110790050395785,0.533679624677113
2560,"Slc44a3",0.667786995575113,0.668165981653119,4.49693900348347,0.110911910706274,0.534102392011614
1609,"Phox2a",-1.33864895637655,-1.36809100057765,-1.48410307896424,0.11098088338039,0.534167767221394
7134,"Zfp111",0.715723163452508,0.717161307914461,2.28207455673702,0.110993685432853,0.534167767221394
3522,"Ube2j1",-0.660207491288275,-0.660249527999652,6.75494991571076,0.111031701074837,0.534186608518836
4049,"Loxl3",-0.655749400674551,-0.655816771993987,4.73972267636364,0.111148732009346,0.534585473419222
2843,"Sema6c",0.744761875611779,0.745557252668281,2.18444626345568,0.111252948180154,0.534922477974864
1484,"Arhgap20os",-1.00485303709629,-1.02050362209474,-1.19603035500956,0.111637681503632,0.536495005950095
2722,"Kctd11",-0.670808622292972,-0.670855666262334,6.45443712696718,0.111648497886837,0.536495005950095
781,"Cysrt1",-3.94336362810626,-144269480.485553,-0.225884325543878,0.111841122141049,0.537013737037307
2328,"Bpifc",-1.80912370264919,-1.86940816123825,-1.08094911002534,0.111858175545954,0.537013737037307
2039,"Noc4l",-0.647722637004663,-0.647786003914864,5.92547064688543,0.111862195472345,0.537013737037307
1675,"Cfap157",-0.740491429451155,-0.742658303388789,0.885964579784223,0.111893574062545,0.537013737037307
1993,"Nol12",-0.680661719082797,-0.680978775911349,3.95602828920124,0.111990224000163,0.537183596859645
2183,"Wdsub1",0.682799323005701,0.682950818035817,4.10336348778873,0.111997550420913,0.537183596859645
675,"S100a11-ps",1.1237796701594,1.14531025922641,-1.73058622072763,0.11206959303037,0.537204952793786
3444,"Angptl2",0.655166645314426,0.655188536123342,6.17207522486483,0.112070589577408,0.537204952793786
1879,"Vsig8",0.73751753761995,0.739541984311441,-0.0353236112517284,0.112284938438156,0.538067776272168
1333,"4930503E24Rik",-0.710521419461041,-0.711639168639617,2.33787377535886,0.112319734129051,0.538069919000484
3067,"Pcdhb22",0.851267446836581,0.855236202497762,0.371460838727098,0.112495418121106,0.538746782288939
4167,"Plekhg4",-0.775537446270912,-0.778350492641287,1.47982741752634,0.112646148925304,0.539303766172032
3548,"Map10",1.19359521678244,1.21845887705149,-0.589017929705917,0.11275004518876,0.539636253553905
5361,"Chka",0.672240347243242,0.672247824460565,9.6291730100718,0.112984364729769,0.54049201642223
2900,"Col13a1",-0.966796342102743,-0.97478477143017,-0.939055131617885,0.112997852140619,0.54049201642223
2640,"Padi4",-2.11499148933982,-2.24176526828953,0.176732020989869,0.113106195063015,0.540699137215673
760,"Cxcl17",-4.89453962976583,-144269481.484377,2.1577344267237,0.113110186572344,0.540699137215673
3468,"Aifm2",0.660295589219219,0.660346364739731,5.27857039101524,0.113305643151219,0.541468242819965
2585,"4931414P19Rik",0.714094248110933,0.715431005149311,1.45373635552834,0.113523554702617,0.542344155052299
4683,"Psd4",0.732055207236288,0.73302261072894,2.58544694994293,0.113610802552451,0.542587886622
2418,"Cbs",0.73929196207976,0.739933568652293,2.42547814794715,0.113673891861333,0.542587886622
742,"Snhg7",-0.720769317711509,-0.722855547307505,1.29910303683456,0.11367848349144,0.542587886622
