"","Length","Symbol","logFC","logCPM","F","PValue","FDR"
"723896",89,"Mir324",1.12990840947809,-0.901898286468919,3.01450557061548,0.106988231768714,0.17529438097191
"244911",1352,"C2cd4a",-0.945478871864392,0.593609468101621,3.02124439617593,0.10698943992802,0.17529438097191
"73230",3793,"Bmper",-2.37570550124873,-1.23856772916287,2.97173414963759,0.107058395936649,0.17538901614177
"225028",4231,"Map4k3",0.216791786597358,6.63003683640578,3.01773799313922,0.107139292348837,0.175503190907092
"72931",768,"Swi5",-0.177928697319496,5.94306786321891,3.01613148763669,0.107223355574658,0.175622528761713
"381175",1525,"Ccdc68",-1.12262789578598,2.77445122242028,3.0161233111187,0.107237614387345,0.175627520060404
"13018",3823,"Ctcf",-0.180649644133641,5.86593023587801,3.01490561741668,0.107287557575727,0.175690945998721
"245607",3818,"Gprasp2",1.45169173496704,2.61769695286741,3.00798685515803,0.107435652805677,0.175915072771081
"226016",2475,"Abhd17b",0.250612982533455,4.58992969454079,3.01101997500518,0.107491515901689,0.175988147637955
"70640",8643,"Dcp2",-0.260482807579283,4.15053647045336,3.00982388033629,0.107554414118994,0.176072724127291
"99899",2909,"Ifi44",-0.43350396207543,0.631308718296784,3.00958521603698,0.107584243058731,0.17610315230042
"15412",2566,"Hoxb4",-1.26745867308441,1.24561562614218,3.01032328495886,0.107624501511285,0.176150644256011
"72326",1898,"2500004C02Rik",-0.787516732925199,0.454954178501268,3.00808694351538,0.107673333170155,0.176212156718605
"100043407",885,"Gm4419",-0.857671587655996,-0.13927470388381,3.008801500444,0.107739007936148,0.176301217937925
"23859",8022,"Dlg2",3.80811538635087,-0.170618317836296,3.01418003051883,0.107799479122477,0.17638174644387
"76784",2748,"Mtif2",-0.203459129794452,4.37614166391425,3.00270265481072,0.107929323695415,0.176575755163307
"83984",1304,"Tssk6",-1.64114563803648,-1.38929816086404,2.98873444489136,0.107993730757497,0.176653202571676
"72667",4331,"Zfp444",0.350481317811128,2.96166296732489,3.00139528350135,0.107999216152502,0.176653202571676
"106039",3034,"Gga1",0.180260695308866,5.79427250512397,3.00105554810855,0.108016205776826,0.176662545781371
"57439",3169,"Tmem183a",0.160292183305519,6.45881250183869,3.00064126435888,0.108038090911687,0.176679892904434
"230027",2613,"Coq3",-0.351519964634077,2.82275157229159,2.99999590931409,0.108072938462266,0.176703191138293
"224860",4051,"Plcl2",-0.398076495593826,2.24706981063673,2.9999963664285,0.108074897816533,0.176703191138293
"56418",2476,"Ykt6",-0.159518664553807,6.67138443280895,2.99794471233528,0.108180697309771,0.176857714815024
"30947",3159,"Adat1",-0.495558666267851,1.05420294141519,2.99571529615313,0.108305369685616,0.177042761680761
"68917",591,"Hint2",0.278241693622724,3.95054569738556,2.99538569033692,0.108316490772321,0.177042761680761
"93790",3989,"Nipa2",-0.234214632875117,5.41384138924723,2.99477795140907,0.108348480421543,0.177076572332131
"330627",9649,"Trim66",0.93701024355246,-1.13849427819881,2.99648526591958,0.108382422147357,0.177113565923049
"433406",2790,"Gm13363",-1.39963830251574,-1.17604921095571,2.99322230112257,0.108400847897531,0.177125198948035
"140499",3502,"Ube2j2",0.208638458507875,4.68082731795766,2.99309368945469,0.108437914892165,0.177167285855837
"56055",2966,"Gtpbp2",-0.211135016978314,5.64570578767226,2.98943688820479,0.108632160479785,0.177457442133702
"56305",2761,"Pitpnb",0.163430135196064,6.65308872859267,2.98932389674987,0.108638165979074,0.177457442133702
"170716",1711,"Cyp4f13",0.295382849438396,3.88207987902239,2.98814812545113,0.108701052011973,0.177541651524091
"12044",796,"Bcl2a1a",0.703906291003142,-0.442566117051608,2.98137385038942,0.108739266998471,0.17758555228639
"22289",5265,"Kdm6a",-0.227273752555074,6.30327830058063,2.98639854943023,0.108793942964418,0.177656324042281
"52882",5828,"Rgs7bp",-3.91127679273308,-1.15329017527866,2.95033021670718,0.108947208277188,0.177888056875355
"14677",3193,"Gnai1",0.393804674973461,4.96115011079824,2.98285970573089,0.108990057208039,0.177939473284412
"71890",1224,"Mad2l2",-0.367861529486615,3.07815000360314,2.97949901448338,0.109163623228216,0.178204268223218
"27211",89,"Snord35a",1.20471101318807,-1.15234527981116,2.9737583856409,0.109227078389736,0.178289276125374
"626009",1369,"Gm6644",-0.448152484022579,2.21171251193527,2.97695111115515,0.109300670499526,0.178390810937183
"270152",2458,"Jaml",0.676996280144661,-0.772359465381993,2.97498734803442,0.109338287713333,0.178433615692193
"18676",5260,"Phf2",-0.149404487423976,6.32006959558253,2.97343089246795,0.109487795184036,0.178658990787284
"20648",2115,"Snta1",0.279343801588455,4.8755654513286,2.97318859678907,0.109500896861105,0.178661759121884
"109168",6699,"Atl3",-0.226098194765459,6.95878861157293,2.97190492049124,0.109569800549338,0.178755564008059
"233806",1411,"Ldaf1",-0.555525846765346,3.95860539829551,2.97123689476855,0.109606897696093,0.178797464584952
"100503392",1788,"4833438C02Rik",0.317522871363914,3.88570557982592,2.96812930158941,0.109773261421172,0.179050202016103
