"Length","Symbol","logFC","logCPM","F","PValue","FDR"
2244,"Rasgef1c",-5.67603352821688,2.00915860101551,339.378282479246,9.94253804660692e-12,4.58087819117934e-09
3122,"Itih2",-7.86355684852557,3.50122778225346,523.773826018078,1.09641333731498e-11,4.80266976072851e-09
2258,"Krt6a",-7.51844637982638,4.99408098483435,564.001594359866,1.10370961625424e-11,4.80266976072851e-09
2338,"Pianp",-4.84619328377533,5.14395678688433,563.685112339376,1.14059495296644e-11,4.82903241573493e-09
4836,"St6gal1",3.4192397023455,7.61184792171493,541.599352557522,1.34591499004534e-11,5.54835745238426e-09
5095,"Gcnt4",-6.27214794807829,2.85449330749508,385.885064350964,1.60501147369653e-11,6.37859094680004e-09
2226,"Slc39a4",3.50104848689343,4.28231998987161,525.179718211558,1.62874968319184e-11,6.37859094680004e-09
4245,"Doc2b",3.01955556834094,5.0398601330251,506.236718585636,2.03349883228299e-11,7.6869047363049e-09
696,"Plac8",-5.69670639077233,3.04621051757823,513.530112360681,2.06096392546956e-11,7.6869047363049e-09
2354,"Foxi1",-4.28570308793438,2.25917494079493,385.233450726918,2.21164486185636e-11,7.89580894044458e-09
920,"Csn1s2a",6.94903777271828,15.5178724798732,497.872727400035,2.24146659808298e-11,7.89580894044458e-09
2700,"Slc52a2",2.93979538042369,5.29260187590774,496.91694726237,2.26818641761893e-11,7.89580894044458e-09
8216,"Rbms3",-4.25828529273096,6.33168625803795,489.506383424314,2.48889376588886e-11,8.47576540057587e-09
2103,"Esm1",-3.72328121100382,3.42111391363394,438.288726885889,2.90031677475875e-11,9.66669410140336e-09
1392,"Rogdi",2.75160886608745,5.85796199629295,468.028593872436,3.25788648119373e-11,1.06322482766458e-08
774,"Reg3g",-10.4176411510827,0.635181426713956,292.612717950037,3.52208964808448e-11,1.12599049667844e-08
4631,"Dab2",4.42302479793968,8.22704629802164,459.720422600953,3.62995263808246e-11,1.13726416151123e-08
1523,"Fgg",-7.80423968721933,6.33924866003102,453.783503052673,3.93713843860877e-11,1.1918221563364e-08
3009,"Rgs2",-2.50553459090149,6.76009981573668,453.223897845079,3.95625612061877e-11,1.1918221563364e-08
1520,"Chrdl2",6.39401576798022,7.13156143733422,452.931512198255,4.14337088083584e-11,1.22463971411874e-08
3599,"Ugt8a",-5.43601326470551,1.46217591934027,217.183160395859,4.65305012182972e-11,1.34981537330486e-08
2023,"Ormdl3",2.2319222943155,6.88905718642772,437.477420392227,4.89720683742603e-11,1.39481354742325e-08
10982,"Peak1",-2.67707118656177,5.53603995089936,432.626698884241,5.23836500997632e-11,1.46533906930856e-08
2267,"Cntfr",-7.2633809876913,3.93025240966195,336.27925364273,5.39790150084192e-11,1.48347591246822e-08
2802,"Rftn1",-3.79412272449231,4.14481215451135,427.573536332163,5.63139896329777e-11,1.52096318551827e-08
3613,"Camk2n1",-3.70213098259021,4.47503159689096,425.888148924625,5.76318775860587e-11,1.52201792179508e-08
5110,"Col8a1",-6.86204596266064,4.54563026388654,424.80372787159,5.8741247257884e-11,1.52201792179508e-08
7387,"Neo1",1.97992242261032,7.43675608728048,423.854108872184,5.92678539607403e-11,1.52201792179508e-08
866,"Fth1",2.88144865380955,10.8927528626814,419.830708981691,6.2775539687746e-11,1.57886205644741e-08
4367,"Golm2",-2.39960274627863,5.49491948800761,419.049885984012,6.34971653726058e-11,1.57886205644741e-08
1971,"Tspan1",-4.22282804135966,3.59856026302793,409.013321823639,7.64833487202086e-11,1.83480047303988e-08
4758,"Padi2",-4.69105212408034,3.14229070850286,406.310155025534,7.66737896837767e-11,1.83480047303988e-08
6889,"Pgr",-3.83770717687206,4.81755065281755,405.624848963248,7.73066444850435e-11,1.83480047303988e-08
1199,"Areg",-5.61215078301574,6.57351065482285,407.309494541755,7.847534739462e-11,1.83480047303988e-08
2491,"Abcg2",3.70438838734503,7.28476746730853,400.503223593726,8.33867843404571e-11,1.92096173043126e-08
2237,"Krt6b",-6.78596096786478,4.82925874047145,399.574980596344,8.59530684254256e-11,1.95138379258593e-08
