"","B.lactating","B.pregnant","B.virgin","L.lactating","L.pregnant","L.virgin"
"13992",-9.80314782714445,-9.98700226812792,-9.81212756959931,-9.22621134739643,-9.45862870962353,-10.4775444025885
"76510",-10.6006588208016,-10.6216654308616,-10.5724029933984,-10.0592175438215,-10.2475234978771,-10.1899121028977
"353342",-9.96483520234273,-10.1915951223538,-10.5714821249285,-12.1860495108868,-11.7294463708642,-10.942652347603
"100041120",-11.282007885385,-11.0333372307384,-10.911887927358,-10.4456489256118,-10.3678077629888,-10.636207866381
"93696",-11.3522766334628,-11.1293548716442,-11.1932135066751,-11.2510192499791,-11.617351221493,-11.3088187409955
"239528",-9.5427951197658,-9.28430985417684,-9.47909134494219,-9.96823917657859,-9.80242567928802,-9.72485649701569
"14083",-9.28473730792725,-9.76507176190697,-9.7642380479511,-9.20296775120292,-9.49387930715923,-9.66122661685574
"100040929",-9.23645282252182,-8.92373410918467,-8.8890915559266,-9.09635388382241,-8.61937827054009,-8.49238972467723
"105841",-12.1174765890823,-12.0000355477737,-11.271424782762,-10.0111773328,-10.5392088466146,-11.0617293856404
"106068",-9.79997231672322,-10.1951965478485,-10.1572099034252,-11.1662604380194,-10.8811792963612,-10.4744693498635
"239530",-12.7327934104172,-14.4758351786587,-14.2839066068936,-15.2622846872201,-15.2338513283004,-15.1305049794735
"19245",-11.1976478442149,-10.8975234989528,-11.1249605718465,-11.6387702953965,-11.6602572863418,-11.6393851044117
"100041273",-13.9000838387569,-13.8705151824435,-13.9194780017061,-12.9482140070203,-13.5839275125221,-13.4724438580993
"107831",-12.9770184957489,-12.7095917161935,-13.0472089037095,-19.0267376293459,-19.0267376293459,-17.5886391858443
"11838",-6.43908611075054,-6.32518294977331,-6.31348532393733,-10.4787525666239,-9.46450355684502,-9.69584196408815
"16469",-13.6198335004613,-13.7359408327407,-13.7527456509803,-14.1255773986185,-15.4524935824844,-12.7579411102033
"223626",-12.9477123789168,-12.7181864360343,-13.2739364742053,-13.4627256092056,-13.254721513499,-12.5804599773691
"23936",-9.88936430567485,-10.544280662318,-10.8269520200097,-12.9809282844938,-13.2358912359095,-11.7700179128878
"17068",-14.0046993248284,-13.5215213276245,-12.7042379100231,-15.2623191378228,-12.8924295188471,-8.85814104479607
"78725",-13.2101205590563,-13.7481106940041,-13.9841100072683,-19.0267376293459,-16.7577350631628,-14.3542229368915
"76486",-12.92863919015,-12.8431295354755,-13.2835043237614,-14.7607749945383,-15.9056635561365,-11.5571642103292
"67038",-16.1504408544111,-16.2929645470622,-15.9791814620452,-16.9444303752983,-16.1176634794688,-11.483301421227
"17069",-7.34997982191292,-7.28156970077673,-7.44506588893568,-6.18674124673581,-6.28402352628269,-6.55682079549774
"57248",-16.4196606202498,-15.7608995268671,-14.4061338600998,-12.9477614083145,-13.4942923440227,-12.4807975254274
"110454",-12.0531314638928,-12.189958269079,-10.6832119965998,-9.1804457203802,-11.2985426997836,-9.01246117418653
"17067",-11.6530492041578,-11.8031773187276,-10.6726466358339,-12.8412917161867,-12.6604537449118,-11.1067427492416
"23934",-11.303391826205,-11.7949506863847,-13.0170829070343,-15.6563299406461,-14.5505737978615,-17.5886391858443
"68453",-11.4799482562007,-11.9907376461286,-12.8169304159346,-13.1831177609807,-14.1844374905831,-14.4150851272555
"22701",-12.9285688036991,-13.2527449806046,-13.5523172208405,-13.935784759313,-14.5056713614567,-13.0599374875748
"72665",-14.871316371229,-15.4159366580036,-14.7139473785085,-15.2623191378228,-15.7305240937866,-14.8000670127726
"72960",-10.7808862637023,-11.1334431197964,-11.5270915582116,-11.8140669715777,-11.7907453072558,-11.8100505285052
"14787",-12.3899606482843,-12.3291357069748,-12.1556018523368,-13.0677989006595,-14.6560932423185,-14.4152984990199
"378435",-11.6456108148179,-11.9090615839676,-11.4459460595251,-19.0267376293459,-15.9052897215755,-15.0671230379135
"223642",-11.7352704846014,-12.1921774862082,-11.6915079575395,-12.3759493270388,-12.574036612329,-11.6785114867662
"69146",-11.3639813105114,-11.6729356451122,-11.5165416412305,-14.6666912535777,-15.2342182178457,-12.9818367675204
"223645",-13.8279624233229,-13.6335206748751,-13.823840339923,-15.9325326171437,-14.7141200150548,-14.6276063757809
"223646",-11.4932269421928,-11.4996293324715,-11.3670475057236,-14.0264632119922,-13.8400684256581,-11.9205316021786
"66656",-9.36393160757243,-9.02662619050228,-9.00151916333968,-9.0757910121819,-9.08655770786602,-8.93882514645435
"105734",-12.0402338061777,-11.6662719359281,-12.0413413918985,-13.7053215095178,-12.6159554533968,-12.7648478172426
"66194",-11.7599323743731,-11.340858356212,-11.3592295784403,-11.2247771249696,-11.1844440263786,-10.9390024613571
"22122",-11.2245790658598,-11.0797115546652,-11.1626270173582,-9.56782334088765,-10.0340073954962,-10.2796858410539
"78834",-11.9276250881292,-10.9277003848969,-11.2040042689523,-11.7835141610243,-11.1245387714414,-10.945619686251
"69020",-10.5952789678622,-11.7002245325442,-11.3670376990088,-13.5470842836098,-13.6215943444515,-12.7933912275842
"223648",-13.4320592511821,-13.790488654669,-14.2553089235646,-13.7054796002435,-15.4517545360882,-14.1873307196264
"332110",-13.7396548985467,-13.3585252962796,-12.6029814004321,-14.1792478068774,-14.2197684019814,-13.4998555157016
"105732",-9.58603720906817,-9.43469526598649,-9.63328132023997,-10.2610899626641,-9.11494730882903,-8.8134015988182
