"","Length","Symbol","MCL1.DG","MCL1.DH","MCL1.DI","MCL1.DJ","MCL1.DK","MCL1.DL","MCL1.LA","MCL1.LB","MCL1.LC","MCL1.LD","MCL1.LE","MCL1.LF"
"142",5564,"Col3a1",1349,1844,3202,3285,2083,1713,441,783,723,446,696,763
"143",6615,"Col5a2",5409,4982,1597,2337,4816,4891,62,87,79,50,48,59
"144",2612,"Wdr75",981,860,917,711,474,442,1002,879,585,441,257,293
"145",641,"Gm5526",5159,4902,9502,10606,10675,8530,1883,2141,1363,1517,635,664
"146",3380,"Slc40a1",83,91,22,15,22,34,173,145,48,61,114,133
"147",12318,"Dnah7b",110,169,79,132,220,185,15,14,3,2,3,8
"148",4961,"Slc39a10",1936,2138,2181,1785,1952,1795,540,526,495,279,438,455
"149",3339,"Tmeff2",44,38,9,17,11,12,2,4,1,0,0,1
"150",3055,"Cavin2",4060,4455,2493,2833,4721,5195,936,940,276,345,72,65
"151",2838,"Nabp1",3147,2577,2107,2327,4323,3718,3021,3927,2145,2581,1410,1433
"152",3051,"Gm17767",0,3,3,1,3,7,1,6,15,24,29,26
"153",5042,"Myo1b",1603,1908,2129,1670,1817,1767,1636,1750,635,534,155,169
"154",2981,"Stat4",3,3,19,30,25,23,31,27,1,0,2,2
"155",5356,"Stat1",532,626,1056,894,970,731,837,879,1049,657,783,726
"156",7488,"Gls",11098,10148,10106,8413,7574,6460,4644,4909,1947,1925,677,718
"157",5088,"Nab1",1947,2088,2836,2360,2980,2602,3106,4049,3715,3491,1275,1112
"158",3394,"Nemp2",120,109,92,69,78,115,149,171,42,21,23,15
"159",5591,"Mfsd6",1148,1062,868,853,1565,1528,2392,2573,3865,3167,1963,1970
"160",1776,"Inpp1",324,278,222,222,242,299,230,224,213,175,113,80
"161",1704,"Hibch",351,337,552,550,577,505,399,361,483,497,458,454
"162",834,"1700019D03Rik",51,119,361,321,298,269,8,5,5,6,81,62
"163",3032,"Pms1",106,118,96,67,65,68,154,140,64,34,59,53
"164",1846,"Ormdl1",120,89,53,52,67,72,413,371,266,231,246,228
"165",2283,"Osgepl1",117,144,139,139,148,171,100,111,89,70,60,62
"166",2362,"Asnsd1",232,217,187,170,123,146,580,618,735,769,403,481
"167",12272,"Dnah7a",32,42,15,25,48,49,4,4,2,0,0,0
"168",3278,"Stk17b",858,721,1198,832,516,468,317,369,292,223,348,359
