"","Length","Symbol","MCL1.DG","MCL1.DH","MCL1.DI","MCL1.DJ","MCL1.DK","MCL1.DL","MCL1.LA","MCL1.LB","MCL1.LC","MCL1.LD","MCL1.LE","MCL1.LF"
"5905",2570,"Sptlc1",444,375,310,288,384,397,1091,1225,1055,1018,736,733
"5906",2339,"Gm2762",0,0,0,0,0,0,0,1,0,0,0,0
"5907",2162,"Msx2",11,3,5,2,1,1,449,563,29,32,22,26
"5908",3529,"Drd1",1,2,2,7,0,1,0,1,1,0,0,0
"5909",2811,"Sfxn1",510,354,436,335,188,184,1102,1026,795,632,614,668
"5910",2793,"Hrh2",0,1,1,0,0,2,0,0,0,0,0,0
"5911",4928,"Cplx2",338,299,150,165,114,131,605,563,131,107,49,42
"5912",2326,"Thoc3",503,468,369,280,224,233,712,702,712,558,423,465
"5913",499,"Gm2830",2148,2080,2713,2600,1782,1450,164,140,46,31,25,10
"5914",4793,"Simc1",2710,1699,1339,965,846,832,597,572,231,184,122,131
"5915",2674,"4833439L19Rik",1734,1574,2124,1902,2229,1967,1757,1820,1638,1607,1734,1617
"5916",347,"Gm19905",122,153,180,137,138,81,141,127,57,83,23,27
"5917",1048,"Arl10",108,91,88,74,73,82,147,168,46,36,24,28
"5918",1734,"Nop16",732,604,842,561,278,235,623,634,501,453,207,207
"5919",613,"Higd2a",743,661,1017,1035,889,841,876,952,1034,1013,415,417
"5920",1576,"Cltb",2978,3265,3884,3563,2944,2495,3362,3673,2021,2062,857,873
"5921",4322,"Faf2",1218,1303,1518,1321,1507,1347,1234,1431,806,708,575,565
"5922",4410,"Rnf44",3819,3303,3813,2955,2528,2622,2364,2492,2286,1931,1002,830
"5923",4127,"Cdhr2",1,0,3,1,0,0,4,23,26,42,32,28
"5924",4141,"Gprin1",0,0,0,1,1,2,1,3,2,0,1,1
"5925",1196,"Sncb",0,0,0,0,0,0,0,0,0,0,0,0
"5926",1897,"Eif4e1b",0,0,0,0,0,0,0,0,0,0,0,0
"5927",1556,"Tspan17",147,137,46,66,91,109,568,523,280,365,131,126
"5928",3974,"Unc5a",1,1,0,0,1,0,1,0,14,13,27,16
"5929",3269,"Hk3",3,6,9,1,3,5,2,1,2,0,2,1
"5930",2931,"Uimc1",731,762,790,766,796,780,598,621,432,439,403,439
"5931",3597,"Zfp346",365,319,249,217,265,271,310,338,129,139,110,135
"5932",3146,"Fgfr4",87,172,365,225,106,103,9,13,14,8,0,0
"5933",12784,"Nsd1",2953,2796,2646,2584,2915,2509,2990,3007,1955,1790,1649,1823
"5934",1865,"Rab24",1027,1036,1105,974,906,951,1098,1122,906,895,451,462
"5935",1089,"Prelid1",1293,1229,1501,1384,1259,1104,1632,1920,2065,1800,1059,938
"5936",1299,"Mxd3",73,80,70,43,7,8,92,78,29,8,16,12
"5937",4315,"Lman2",3422,3085,2664,2412,2096,2121,3978,4282,3442,2472,2283,2374
"5938",2356,"Rgs14",14,16,6,12,5,6,13,15,16,34,3,0
"5939",3081,"Slc34a1",3,1,9,3,2,3,0,0,0,0,0,0
"5940",545,"Pfn3",0,0,0,0,0,0,0,0,0,0,0,0
"5941",1961,"F12",4,7,2,5,5,6,0,0,0,4,0,0
"5942",3243,"Grk6",1681,1250,1332,1152,1257,1279,1119,1124,864,871,582,556
"5943",1360,"Prr7",668,484,848,733,853,915,111,121,53,36,26,17
"5944",3047,"Dbn1",1913,1496,902,890,1138,994,425,431,99,133,90,74
"5945",2987,"Pdlim7",9340,8026,10026,9198,8220,7908,1091,1427,706,734,83,103
"5946",1546,"Dok3",98,67,58,46,46,43,27,40,14,15,6,9
"5947",2205,"Ddx41",993,885,866,762,565,547,1511,1493,1070,928,393,442
"5948",4341,"Fam193b",2529,2590,2082,2354,1683,2077,2479,2509,1925,2045,1220,1458
"5949",1454,"Tmed9",2231,1973,2008,1692,1171,1016,2686,2707,2987,2534,2102,2081
"5950",1596,"B4galt7",141,55,61,80,55,73,178,140,217,120,159,173
"5951",1387,"Caml",771,690,631,577,548,419,690,665,558,496,248,238
"5952",5673,"Ddx46",2391,1984,2279,1953,1788,1666,2367,2457,2029,1645,746,793
"5953",4652,"B230219D22Rik",3319,2937,3623,3342,3642,3536,2330,2401,1255,1088,891,886
"5954",1527,"Txndc15",429,298,342,318,454,487,493,569,479,460,398,375
"5955",546,"Pcbd2",87,93,139,164,131,115,198,175,147,142,113,92
"5956",1352,"Catsper3",0,0,1,0,0,2,4,2,2,2,0,0
"5957",2448,"Pitx1",0,0,2,0,0,0,0,2,0,0,0,0
"5958",2053,"Macroh2a1",2173,1850,1614,1376,1343,1184,3145,3307,2265,1754,816,759
"5959",3498,"Tifab",1,3,0,1,1,0,1,1,0,1,0,0
"5960",1672,"Neurog1",7,3,1,1,5,7,1,0,0,0,0,0
"5961",1827,"Cxcl14",59704,49807,21550,32913,97158,96874,82,151,71,109,132,145
"5962",1480,"Gm10782",14,15,5,8,20,17,0,0,0,0,0,0
"5963",822,"Gm3045",0,0,2,3,1,4,0,0,2,0,0,0
"5964",1498,"Slc25a48",50,59,149,108,72,53,100,182,461,390,335,262
"5965",536,"Il9",0,0,0,0,0,0,0,0,0,1,0,0
"5966",1965,"Fbxl21",34,23,28,34,36,33,7,1,2,3,4,2
"5967",877,"Lect2",0,5,5,4,0,1,0,0,0,0,0,0
"5968",2678,"Tgfbi",87,103,63,45,40,31,29,30,21,12,5,13
"5969",7175,"Smad5",2109,2103,2291,2144,2213,1895,1983,2024,934,875,562,489
"5970",3339,"Trpc7",0,0,0,0,1,0,0,0,0,0,0,0
"5971",6673,"Spock1",8,19,17,3,2,0,5,7,99,86,52,10
"5972",2142,"Klhl3",59,67,22,21,35,36,56,72,5,7,5,4
"5973",76,"Mir874",0,0,0,1,0,0,0,0,0,0,0,0
"5974",2678,"Hnrnpa0",7657,7807,8066,6577,3923,4008,6598,7562,4297,3263,1218,1119
"5975",1511,"Idnk",215,170,137,137,174,175,235,228,224,188,130,150
"5976",3686,"Ubqln1",2978,2845,3332,2843,1749,1539,4938,4979,5619,4856,3722,3605
"5977",1518,"Gkap1",214,156,110,130,131,131,366,329,287,288,118,130
"5978",4462,"Kif27",254,155,24,41,47,60,71,61,16,14,5,9
"5979",2822,"Qng1",466,390,464,544,487,470,624,622,492,465,400,382
"5980",1978,"Hnrnpk",4091,3777,4423,3655,2554,2516,3875,4077,3177,2856,1406,1480
"5981",108,"Mir7-1",29,20,7,20,9,14,16,5,6,12,3,2
"5982",3877,"Rmi1",97,81,57,52,71,63,135,122,68,56,114,123
"5983",4565,"Slc28a3",180,156,628,398,113,164,10917,11916,14200,16083,20881,23580
"5984",1627,"4930455J16Rik",0,0,0,0,0,0,0,0,0,0,0,0
"5985",9880,"Ntrk2",73,101,122,98,44,60,34,36,1,4,4,2
"5986",4860,"Agtpbp1",401,340,306,358,362,349,465,533,359,341,374,376
"5987",3154,"A230056J06Rik",2,1,2,0,0,0,0,0,0,1,0,0
"5988",2631,"Naa35",849,777,693,552,597,520,828,942,764,698,316,291
"5989",3693,"Golm1",371,437,335,310,212,240,788,912,1036,876,1529,1625
"5990",3142,"4921517D22Rik",0,0,0,0,0,0,0,0,0,0,0,0
"5991",4277,"Spata31d1a",0,0,0,0,0,0,0,8,1,0,5,4
"5992",4281,"Spata31d1b",0,0,0,0,0,0,0,4,2,0,3,0
"5993",3827,"Spata31d1d",0,0,0,1,0,1,0,0,0,0,0,0
"5994",1239,"4930528D03Rik",0,0,0,0,0,0,0,0,0,0,0,0
"5995",1915,"Isca1",619,586,710,602,456,426,535,482,576,545,501,510
"5996",3135,"Etohd2",69,78,36,42,44,57,44,53,41,60,26,17
"5997",5551,"Tut7",2365,2612,2145,1810,1681,1658,2329,2700,2333,2284,1050,1004
"5998",346,"Gm19866",0,0,0,0,0,0,0,0,0,0,0,0
"5999",3732,"A530065N20Rik",12,8,21,21,39,24,0,0,0,0,0,1
"6000",3131,"Gas1",6365,4845,9777,11531,15926,15899,87,146,74,46,46,44
"6001",3604,"Gm5084",5,2,3,0,2,2,0,1,18,10,7,13
"6002",5935,"Dapk1",2853,3520,3536,3399,2778,2667,3780,4953,4702,4601,2261,2375
"6003",1348,"BC051665",0,0,0,1,0,0,0,0,0,0,0,0
"6004",1332,"Ctsll3",0,0,0,0,0,0,2,1,0,2,0,0
"6005",1373,"4930486L24Rik",17,40,11,12,9,14,29,29,0,6,33,24
"6006",1147,"Ctla2b",101,162,120,97,41,58,58,69,21,27,12,11
"6007",710,"Tpbpb",0,0,0,0,0,0,0,0,0,0,0,0
"6008",1394,"Ctla2a",233,461,335,396,146,128,65,98,58,50,21,20
"6009",1372,"Tpbpa",0,0,0,0,0,0,0,0,0,0,0,0
"6010",1274,"Ctsj",0,0,0,0,0,0,12,59,3,0,0,0
"6011",1330,"Ctsq",0,0,0,0,0,0,1,0,1,0,0,0
"6012",1335,"Ctsr",3,1,0,0,0,0,228,470,20,9,2,3
"6013",1323,"Cts6",0,0,0,0,0,0,1,0,0,0,0,0
"6014",2493,"Cts8",0,0,0,0,0,0,0,0,0,0,0,0
"6015",4221,"Cts8-ps",0,0,0,0,0,0,0,0,0,0,0,0
"6016",1493,"Cts7",0,0,0,0,0,0,0,0,0,0,0,0
"6017",1204,"Ctsm",0,0,0,0,0,0,0,0,0,0,0,0
"6018",1442,"Cts3",0,0,0,0,0,0,0,1,0,0,1,0
"6019",912,"Gm20599",1,0,0,0,0,0,0,1,0,0,0,0
"6020",561,"Gm6436",3,4,6,3,4,0,11,7,5,4,2,1
"6021",1622,"BC052688",0,0,0,0,1,0,0,1,0,0,0,0
"6022",3114,"Zfp808",44,65,21,18,14,25,84,88,27,12,23,32
"6023",804,"Gm19792",3,1,0,1,1,2,1,0,0,0,1,1
"6024",2919,"Gm3604",20,18,5,9,15,16,38,23,12,2,15,3
"6025",816,"Gm3609",4,6,5,5,1,6,13,11,4,1,2,1
"6026",2472,"Zfp935",89,77,80,72,91,130,183,191,127,107,123,120
"6027",2439,"Zfp934",45,40,21,19,12,24,85,86,31,16,38,33
"6028",750,"Gm7664",58,45,36,36,41,48,97,122,140,122,108,107
"6029",2638,"Zfp1008",20,16,20,17,12,5,50,41,9,6,16,17
"6030",1316,"Platr25",19,29,8,6,7,5,22,13,2,3,8,3
"6031",108,"Mir713",0,0,0,0,0,0,0,0,0,0,0,0
"6032",3279,"Gm5141",15,9,10,4,8,12,25,14,1,1,5,11
"6033",1294,"Fbp2",0,0,2,1,0,0,6,1,25,13,3,7
"6034",1433,"Fbp1",3,5,1,1,1,0,21,8,4,1,2,0
"6035",3509,"Aopep",1048,1020,1406,1415,1759,1931,283,248,370,414,356,341
"6036",2764,"Gm16907",96,57,138,125,59,99,38,61,74,90,59,60
"6037",74,"Mir23b",9,8,9,6,8,9,2,1,0,1,0,2
"6038",73,"Mir27b",10,8,3,1,7,14,1,1,1,0,1,0
"6039",85,"Mir3074-1",5,1,1,0,5,6,1,1,0,1,0,1
"6040",68,"Mir24-1",0,0,0,0,0,0,0,0,0,0,0,0
"6041",4292,"Fancc",116,104,113,108,125,138,124,124,100,97,80,58
"6042",4305,"Ptch1",390,280,215,183,290,340,305,254,139,144,113,111
"6043",6045,"Ercc6l2",900,803,694,633,631,597,713,702,452,378,353,374
"6044",1286,"Hsd17b3",0,0,0,0,0,0,0,0,0,0,0,0
"6045",2276,"Slc35d2",39,40,15,17,26,35,130,115,71,87,35,29
"6046",3490,"Zfp367",995,913,572,497,318,233,888,846,570,346,479,330
"6047",2567,"Habp4",559,606,437,492,516,533,428,374,297,267,172,161
"6048",5993,"Cdc14b",188,206,321,279,225,209,351,405,357,289,280,270
"6049",1802,"1810034E14Rik",8,4,16,6,11,16,6,8,7,7,3,2
"6050",972,"Prxl2c",456,461,335,441,498,480,360,402,411,529,176,183
"6051",1971,"Ctsl",27288,37147,29814,32392,26728,22011,6167,8550,9173,11001,5431,5542
"6052",1827,"Cdk20",241,201,165,190,209,188,71,93,54,48,29,34
"6053",1097,"Fam240b",0,0,0,0,0,0,0,0,0,0,0,0
"6054",4868,"Cntnap3",0,0,0,0,0,0,0,0,0,2,0,0
"6055",3233,"Spata31",0,0,0,0,0,0,0,0,0,0,0,0
"6056",3390,"Spata31d1c",0,0,0,0,0,0,0,0,0,0,0,0
"6057",1170,"Prss47",0,0,0,1,0,0,1,1,2,5,0,0
"6058",3472,"Mfsd14b",1259,1169,1133,953,897,981,1568,1677,1992,1812,1367,1395
"6059",927,"Or9s18",0,0,0,0,0,0,0,0,0,0,0,0
"6060",3527,"Nlrp4f",0,0,0,0,0,0,0,0,0,0,2,2
"6061",1203,"Gm10775",0,0,0,0,0,0,0,0,0,0,0,0
"6062",2869,"Zfp369",168,138,159,188,236,230,175,196,92,117,67,58
"6063",1905,"Gm7762",0,0,0,0,0,0,0,0,0,0,0,0
"6064",549,"Cbx3-ps5",6,4,7,4,7,1,7,8,2,4,2,1
"6065",917,"Rybp-ps",679,740,639,614,360,346,344,421,463,476,123,73
"6066",1890,"Zfp997",0,0,0,0,0,0,0,0,0,0,0,0
"6067",515,"Zfp998",0,0,0,0,0,0,0,0,0,0,0,0
"6068",503,"Uqcrb",607,512,759,770,540,447,855,790,707,646,546,542
"6069",1652,"Ramacl",16,22,29,19,14,9,16,17,18,12,7,6
"6070",1486,"Mterf3",477,468,495,426,474,438,435,483,354,327,177,181
"6071",3424,"Ptdss1",1194,1134,1087,837,807,719,1586,1745,1501,1320,783,789
"6072",1061,"4933433G19Rik",4,0,2,1,0,0,3,3,0,1,0,1
"6073",3970,"Zfp712",17,8,7,7,6,15,55,38,11,7,6,7
"6074",2634,"Zfp708",10,11,7,8,8,9,28,28,11,6,11,8
"6075",2981,"Rslcan18",11,11,4,2,10,10,19,19,4,5,12,4
"6076",3482,"Zfp759",18,14,13,12,13,12,27,37,10,6,18,12
"6077",2046,"Rsl1",20,15,16,12,13,16,75,63,23,21,22,9
"6078",2712,"Zfp455",14,12,15,8,14,12,30,47,9,5,9,12
"6079",2289,"Zfp458",52,43,18,28,43,45,79,102,34,21,25,25
"6080",3164,"F630042J09Rik",16,5,21,19,59,65,28,15,7,7,8,16
"6081",2117,"Zfp457",3,5,3,5,12,10,3,10,8,8,9,7
"6082",3909,"Zfp595",58,31,27,29,43,35,55,65,21,16,17,18
"6083",4641,"Zfp953",26,18,17,14,25,28,64,76,25,12,21,18
"6084",4079,"Zfp456",10,23,23,12,24,33,109,117,38,24,24,22
"6085",2033,"Zfp429",64,51,39,28,73,69,208,209,101,81,91,83
"6086",3331,"Zfp459",60,58,32,15,45,20,70,59,44,35,26,29
"6087",2742,"Zfp874a",121,85,77,65,125,123,141,148,107,88,45,39
"6088",1671,"Zfp874b",39,30,34,28,50,41,60,59,50,36,25,18
"6089",2359,"Zfp58",50,34,28,27,37,31,62,65,28,14,17,22
"6090",2710,"Zfp87",55,44,49,32,35,43,153,145,80,58,33,29
"6091",4971,"Zfp748",100,90,63,39,61,30,315,261,147,108,58,67
"6092",4835,"Zfp729b",161,98,74,82,96,140,349,336,169,185,123,109
"6093",5179,"Zfp729a",93,91,72,53,86,96,345,298,178,141,127,121
"6094",4504,"Zfp738",73,50,39,47,83,88,95,124,51,48,57,50
"6095",3960,"Zfp65",75,55,47,38,55,53,236,187,105,83,76,64
"6096",2908,"Zfp85os",6,3,5,2,3,1,12,7,4,6,2,3
"6097",2218,"Zfp85",11,6,12,12,8,14,29,30,15,6,4,4
"6098",3274,"Zfp493",6,5,10,2,8,7,14,17,5,4,7,4
"6099",2987,"4930525G20Rik",13,5,17,17,16,14,2,3,3,3,11,13
"6100",2321,"Zfp273",7,7,6,2,13,4,20,18,14,9,1,7
"6101",598,"BC048507",223,145,123,142,144,95,111,76,53,37,24,18
"6102",2884,"Gm7969",3,0,1,0,1,6,1,4,0,3,0,0
"6103",1576,"AA414992",1,2,0,0,0,0,1,0,0,0,0,0
"6104",1575,"Gm8016",0,0,1,0,0,0,0,0,0,0,0,0
"6105",3692,"Mtrr",281,250,314,208,193,196,355,315,235,163,169,199
"6106",2362,"Fastkd3",240,251,202,137,216,190,263,280,164,151,99,129
"6107",1808,"Cfap90",2,1,1,1,7,3,6,1,3,0,0,1
"6108",4211,"Adcy2",1,1,1,0,1,0,0,3,0,0,0,0
"6109",3997,"Tent4a",1684,1437,1723,1291,894,803,1144,1316,1036,1017,287,276
"6110",841,"A530095I07Rik",0,0,0,0,0,0,0,1,0,0,0,0
"6111",2665,"Srd5a1",213,172,187,129,137,164,147,141,181,110,109,98
"6112",4279,"Nsun2",2219,1909,2276,1744,919,822,3223,2959,3447,2668,1538,1667
"6113",2682,"Ube2ql1",17,22,15,4,3,2,3,3,2,0,0,0
"6114",862,"Med10",435,415,385,346,275,263,587,564,541,476,221,219
"6115",2122,"4933416O17Rik",0,0,0,0,0,0,0,0,0,0,0,0
"6116",1044,"1700084F23Rik",0,0,0,0,0,0,0,0,0,0,0,0
"6117",505,"4930520P13Rik",0,0,0,0,0,0,0,0,0,0,0,0
"6118",682,"1700100L14Rik",2,0,0,0,0,0,0,2,0,1,0,0
"6119",7675,"Ice1",1689,1585,1209,1099,1208,1450,1624,1781,1042,963,402,498
"6120",4974,"Adamts16",1,3,2,1,1,0,1,7,1,0,2,0
"6121",869,"8030423J24Rik",0,0,0,0,1,0,0,0,0,0,0,0
"6122",2062,"Irx1",3548,2582,3665,3047,1671,2187,2255,3025,4120,3895,2467,2115
"6123",5099,"Gm20554",300,325,445,329,263,323,445,671,635,628,868,1010
"6124",2463,"Irx2",4622,3436,4628,3615,2471,3163,4029,5277,6742,6261,6225,6828
"6125",585,"D730050B12Rik",0,0,0,0,0,0,0,0,0,0,14,8
"6126",2601,"Irx4",3942,2451,2447,2066,2456,2768,11,11,3,9,2,2
"6127",567,"Ndufs6",439,377,572,529,359,325,630,533,587,501,471,442
"6128",902,"Mrpl36",0,0,1,0,1,0,0,0,0,1,1,0
"6129",867,"Gm20338",0,0,0,0,0,0,0,0,1,0,0,0
"6130",1306,"Eprn",2,1,16,55,45,24,0,0,0,0,0,0
"6131",1605,"Lpcat1",208,169,157,119,107,132,505,535,683,792,258,194
