"Length","Symbol","logFC","logCPM","F","PValue","FDR"
1547,"Krt42",-2.85325476700661,4.08554304124327,157.990716076005,1.05389506427063e-08,2.20123549090658e-06
2177,"Lsr",-1.41573785418767,5.29739355052909,176.05795139487,1.09076624285395e-08,2.24827015714568e-06
7809,"Mylk",2.21118979959604,10.3090738082976,175.633128741442,1.10642782790718e-08,2.25093401612545e-06
3961,"Tmem229b",1.64818048159869,4.74825418299681,174.591020790032,1.14525266720573e-08,2.30004910663817e-06
2791,"A830039N20Rik",1.77164615764642,2.89535134480674,110.912322965115,1.21504139215248e-08,2.40931941874285e-06
2246,"Elf5",2.80534417180253,8.43565452253693,169.101161306499,1.37867648559628e-08,2.69962089335821e-06
6604,"Nrk",3.28995296260124,1.81104266818136,158.767198976213,1.40343509598958e-08,2.71417417020701e-06
5755,"Plin4",4.05547754131519,5.72689451428143,167.435957099643,1.46379509272816e-08,2.77607022936378e-06
2461,"Casq2",2.44042561824803,5.46464437832231,140.701302935143,1.4741442409538e-08,2.77607022936378e-06
4567,"Syt11",-2.77772831808503,2.39514817339181,166.596713218478,1.51971835408051e-08,2.77607022936378e-06
4717,"Adgrg2",-3.28464605234734,3.42270027932375,166.29276102491,1.51978695149101e-08,2.77607022936378e-06
6495,"Ppargc1a",3.38601932656528,3.57110935791262,166.71279642738,1.52404749266061e-08,2.77607022936378e-06
7827,"Kcnma1",1.77307108168942,4.83368580281328,154.369136218474,1.59828573706652e-08,2.87783288174104e-06
547,"Npy",-3.14090429961371,1.78562301170566,234.315269214218,1.85729367170397e-08,3.26592574914902e-06
5482,"Hr",-1.32306681682277,6.79736691471115,160.596404790736,1.858480045691e-08,3.26592574914902e-06
2388,"Plekhs1",1.66431725984253,5.48736012777385,160.467726871489,1.8763697250138e-08,3.26592574914902e-06
3928,"Sstr3",-2.19444440056153,0.554699849564947,111.646449647086,1.95466672094086e-08,3.36481914104819e-06
3853,"Epb41l4a",-1.46996703783572,4.93589614861476,158.013929602329,2.04098433694296e-08,3.40879279322269e-06
4245,"Trpm4",-1.40726924850449,5.43893290630427,157.576888357505,2.07376962016049e-08,3.40879279322269e-06
5395,"P2rx7",-1.64925465149752,4.98323682676448,157.484628726245,2.08091770527684e-08,3.40879279322269e-06
3102,"Stox1",2.72179792927868,2.28154594047048,146.359333137674,2.10394297231827e-08,3.40879279322269e-06
2037,"Gm13446",4.85158244911396,0.940179397450444,120.978426516314,2.10917343788167e-08,3.40879279322269e-06
8609,"Frmpd4",-4.13542540634138,0.757114985421506,110.766377685851,2.11077498207852e-08,3.40879279322269e-06
801,"Ccl7",2.73005700602068,4.15702611899454,155.851356214595,2.20651616994162e-08,3.51299058505585e-06
2940,"Cfl2",1.42811405597296,6.31041033082975,155.725308203562,2.22014725771165e-08,3.51299058505585e-06
2237,"Spon2",2.2977338718664,7.66160681151014,154.896388281505,2.30457212538459e-08,3.53255096626611e-06
